X,Y,Z,U-Magnitude
-1.0,-1.0,0.0,0.0
-0.9797979797979798,-1.0,7.843618691986193e-05,8.1502105e-05
-0.9595959595959596,-1.0,0.00030771841572422995,0.00015587172
-0.9393939393939394,-1.0,0.0006789068422920535,0.00022347031
-0.9191919191919192,-1.0,0.0011831906102481298,0.00028460904
-0.898989898989899,-1.0,0.0018118929632822982,0.0003396102
-0.8787878787878788,-1.0,0.0025564790956908836,0.0003888847
-0.8585858585858586,-1.0,0.003408552569383755,0.00043263397
-0.8383838383838383,-1.0,0.0043598571199458085,0.00047115426
-0.8181818181818181,-1.0,0.005402292503369972,0.0005049446
-0.797979797979798,-1.0,0.006527910650894045,0.0005341149
-0.7777777777777778,-1.0,0.007728904250031337,0.0005589709
-0.7575757575757576,-1.0,0.008997642632760107,0.0005798733
-0.7373737373737373,-1.0,0.010326646607182919,0.0005969719
-0.7171717171717171,-1.0,0.011708604770340024,0.00061072304
-0.696969696969697,-1.0,0.013136379567254334,0.00062130386
-0.6767676767676767,-1.0,0.014602993774600325,0.00062882167
-0.6565656565656566,-1.0,0.016101654736883936,0.0006337158
-0.6363636363636364,-1.0,0.01762574318051338,0.0006362188
-0.6161616161616161,-1.0,0.019168823467567563,0.0006364727
-0.5959595959595959,-1.0,0.02072465384956449,0.00063472084
-0.5757575757575757,-1.0,0.02228716036695987,0.0006312375
-0.5555555555555556,-1.0,0.023850470406934617,0.0006263094
-0.5353535353535352,-1.0,0.025408892195858058,0.0006199337
-0.5151515151515151,-1.0,0.0269569390354678,0.00061234244
-0.4949494949494949,-1.0,0.028489297609403726,0.0006039657
-0.4747474747474747,-1.0,0.030000883912853892,0.0005946889
-0.4545454545454545,-1.0,0.03148677613697946,0.0005847164
-0.43434343434343425,-1.0,0.03294228551313281,0.00057437364
-0.41414141414141414,-1.0,0.03436290597617626,0.0005636858
-0.3939393939393939,-1.0,0.03574433467201888,0.0005528763
-0.3737373737373737,-1.0,0.03708245517872274,0.0005417889
-0.3535353535353535,-1.0,0.03837338597886264,0.00053077686
-0.33333333333333326,-1.0,0.03961340961530804,0.0005198096
-0.31313131313131304,-1.0,0.04079904726408422,0.0005090006
-0.2929292929292928,-1.0,0.04192702517658472,0.00049838197
-0.2727272727272727,-1.0,0.04299422620721161,0.00048798736
-0.2525252525252525,-1.0,0.043997797944024204,0.00047786595
-0.23232323232323226,-1.0,0.04493505576401949,0.0004682223
-0.21212121212121204,-1.0,0.04580351639091968,0.0004586401
-0.19191919191919182,-1.0,0.04660094263888895,0.00044925485
-0.1717171717171716,-1.0,0.04732526138238608,0.00044050172
-0.1515151515151515,-1.0,0.04797461202852427,0.00043173047
-0.13131313131313127,-1.0,0.04854735397435724,0.000423345
-0.11111111111111105,-1.0,0.04904204423502087,0.00041487138
-0.09090909090909083,-1.0,0.049457403885945675,0.0004069434
-0.07070707070707061,-1.0,0.04979242619350552,0.0003991956
-0.050505050505050386,-1.0,0.050046283398941155,0.00039151826
-0.030303030303030276,-1.0,0.05021835654750466,0.00038433826
-0.010101010101010055,-1.0,0.050308172101527444,0.00037735348
0.010101010101010166,-1.0,0.05031556972935795,0.00037043358
0.030303030303030498,-1.0,0.0502404823154211,0.0003641959
0.05050505050505061,-1.0,0.05008310374915599,0.00035838722
0.07070707070707072,-1.0,0.04984385909587145,0.00035326398
0.09090909090909105,-1.0,0.04952328528016805,0.00034876203
0.11111111111111116,-1.0,0.049122232432663435,0.00034519538
0.1313131313131315,-1.0,0.048641666271910064,0.00034260462
0.1515151515151516,-1.0,0.04808280606418847,0.00034119113
0.1717171717171717,-1.0,0.047447038864716885,0.00034120496
0.19191919191919204,-1.0,0.04673598290458321,0.00034292904
0.21212121212121215,-1.0,0.04595145776160061,0.00034577117
0.2323232323232325,-1.0,0.045095458259806036,0.00035064804
0.2525252525252526,-1.0,0.04417021785639226,0.00035705854
0.27272727272727293,-1.0,0.0431781340688467,0.00036531343
0.29292929292929304,-1.0,0.04212183559052646,0.00037523507
0.31313131313131315,-1.0,0.041004145004227756,0.00038670728
0.3333333333333335,-1.0,0.03982810861133038,0.00039973223
0.3535353535353536,-1.0,0.03859692931622266,0.00041397495
0.3737373737373739,-1.0,0.037314063571020954,0.00042939204
0.39393939393939403,-1.0,0.035983098330348726,0.00044560464
0.41414141414141437,-1.0,0.03460791511163115,0.0004626122
0.4343434343434345,-1.0,0.0331925259348005,0.00048032688
0.4545454545454546,-1.0,0.03174118145294487,0.0004981002
0.4747474747474749,-1.0,0.030258331801556047,0.0005156874
0.49494949494949503,-1.0,0.02874859304074198,0.00053306273
0.5151515151515154,-1.0,0.027216855285875495,0.0005500902
0.5353535353535355,-1.0,0.025668137290515,0.0005661801
0.5555555555555556,-1.0,0.024107696441374716,0.000581277
0.5757575757575759,-1.0,0.022540995200537144,0.0005949611
0.595959595959596,-1.0,0.020973686190880834,0.00060704414
0.6161616161616164,-1.0,0.019411627110652623,0.00061725435
0.6363636363636365,-1.0,0.017860891919396816,0.0006253864
0.6565656565656568,-1.0,0.016327724229916928,0.00063092005
0.6767676767676769,-1.0,0.014818596966564655,0.00063360104
0.696969696969697,-1.0,0.01334018440041691,0.00063320086
0.7171717171717173,-1.0,0.011899348166864365,0.0006294686
0.7373737373737375,-1.0,0.010503171755559742,0.0006218345
0.7575757575757578,-1.0,0.009158915766701102,0.000610093
0.7777777777777779,-1.0,0.0078740589261055,0.00059379527
0.7979797979797982,-1.0,0.006656285501038655,0.0005726271
0.8181818181818183,-1.0,0.0055134619961958375,0.0005462285
